20L      TEDDY 200915 0600  13.4N   45.5W ATL   50  1001
20L      TEDDY 200915 0000  13.0N   44.5W ATL   45  1002
20L      TEDDY 200914 1800  12.9N   43.4W ATL   40  1003
20L      TEDDY 200914 1200  12.8N   42.2W ATL   35  1004
20L      TEDDY 200914 0600  13.0N   40.4W ATL   35  1004
20L      TEDDY 200914 0000  13.0N   38.6W ATL   30  1006
20L      TEDDY 200913 1800  12.6N   37.4W ATL   30  1006
20L      TEDDY 200913 1200  12.2N   36.2W ATL   30  1006
20L      TEDDY 200913 0600  11.9N   35.1W ATL   30  1005
20L      TEDDY 200913 0000  11.6N   34.2W ATL   30  1005
20L      TEDDY 200912 1800  11.4N   33.3W ATL   30  1005
20L      TEDDY 200912 1200  11.3N   32.4W ATL   25  1007
20L      TEDDY 200912 0600  11.4N   31.2W ATL   25  1007
20L      TEDDY 200912 0000  11.4N   29.8W ATL   25  1008
20L      TEDDY 200911 1800  11.3N   27.3W ATL   25  1008
20L      TEDDY 200911 1200  11.0N   25.0W ATL   25  1008
20L      TEDDY 200911 0600  10.7N   21.5W ATL   20  1009
20L      TEDDY 200911 0000  10.7N   20.0W ATL   20  1009
20L      TEDDY 200910 1800  10.7N   18.9W ATL   20  1009
20L      TEDDY 200910 1200  10.7N   17.8W ATL   20  1009
20L      TEDDY 200910 0600  10.7N   16.7W ATL   20  1009
