,Date,Long,Lat
0,2020-08-15 00:00:00,-37.8,11.6
1,2020-08-15 00:10:00,-37.84215570670816,11.602382215534028
2,2020-08-15 00:20:00,-37.88431142056128,11.604764298978461
3,2020-08-15 00:30:00,-37.926467148704326,11.6071461182437
4,2020-08-15 00:40:00,-37.96862289828225,11.609527541240148
5,2020-08-15 00:50:00,-38.01077867644002,11.611908435878213
6,2020-08-15 01:00:00,-38.05293449032259,11.614288670068293
7,2020-08-15 01:10:00,-38.09509034707492,11.616668111720797
8,2020-08-15 01:20:00,-38.13724625384199,11.619046628746121
9,2020-08-15 01:30:00,-38.179402217768725,11.621424089054674
10,2020-08-15 01:40:00,-38.221558246000114,11.62380036055686
11,2020-08-15 01:50:00,-38.263714345681116,11.62617531116308
12,2020-08-15 02:00:00,-38.30587052395667,11.628548808783737
13,2020-08-15 02:10:00,-38.34802678797177,11.630920721329238
14,2020-08-15 02:20:00,-38.39018314487134,11.633290916709983
15,2020-08-15 02:30:00,-38.43233960180037,11.635659262836375
16,2020-08-15 02:40:00,-38.4744961659038,11.638025627618822
17,2020-08-15 02:50:00,-38.51665284432661,11.640389878967722
18,2020-08-15 03:00:00,-38.558809644213746,11.642751884793483
19,2020-08-15 03:10:00,-38.60096657271017,11.645111513006507
20,2020-08-15 03:20:00,-38.64312363696085,11.647468631517194
21,2020-08-15 03:30:00,-38.685280844110736,11.649823108235953
22,2020-08-15 03:40:00,-38.7274382013048,11.652174811073184
23,2020-08-15 03:50:00,-38.769595715688,11.654523607939291
24,2020-08-15 04:00:00,-38.81175339440529,11.65686936674468
25,2020-08-15 04:10:00,-38.85391124460163,11.65921195539975
26,2020-08-15 04:20:00,-38.896069273421986,11.661551241814909
27,2020-08-15 04:30:00,-38.93822748801133,11.663887093900557
28,2020-08-15 04:40:00,-38.9803858955146,11.666219379567098
29,2020-08-15 04:50:00,-39.022544503076766,11.668547966724939
30,2020-08-15 05:00:00,-39.0647033178428,11.670872723284479
31,2020-08-15 05:10:00,-39.10686234695764,11.673193517156122
32,2020-08-15 05:20:00,-39.14902159756627,11.675510216250274
33,2020-08-15 05:30:00,-39.191181076813635,11.677822688477336
34,2020-08-15 05:40:00,-39.2333407918447,11.680130801747714
35,2020-08-15 05:50:00,-39.27550074980442,11.682434423971811
36,2020-08-15 06:00:00,-39.31766095783777,11.684733423060027
37,2020-08-15 06:10:00,-39.3598214230897,11.687027666922772
38,2020-08-15 06:20:00,-39.40198215270517,11.689317023470442
39,2020-08-15 06:30:00,-39.44414315382914,11.691601360613443
40,2020-08-15 06:40:00,-39.486304433606584,11.693880546262184
41,2020-08-15 06:50:00,-39.52846599918244,11.69615444832706
42,2020-08-15 07:00:00,-39.57062785770169,11.69842293471848
43,2020-08-15 07:10:00,-39.61279001621327,11.70068587512193
44,2020-08-15 07:20:00,-39.65495247453499,11.702943272909632
45,2020-08-15 07:30:00,-39.69711522033765,11.705195356022996
46,2020-08-15 07:40:00,-39.73927824012923,11.70744237390238
47,2020-08-15 07:50:00,-39.78144152041763,11.709684575988138
48,2020-08-15 08:00:00,-39.82360504771081,11.711922211720632
49,2020-08-15 08:10:00,-39.86576880851669,11.714155530540213
50,2020-08-15 08:20:00,-39.90793278934323,11.716384781887243
51,2020-08-15 08:30:00,-39.95009697669834,11.718610215202075
52,2020-08-15 08:40:00,-39.99226135708999,11.720832079925065
53,2020-08-15 08:50:00,-40.034425917026084,11.723050625496576
54,2020-08-15 09:00:00,-40.0765906430146,11.72526610135696
55,2020-08-15 09:10:00,-40.118755521563436,11.727478756946574
56,2020-08-15 09:20:00,-40.16092053918056,11.729688841705777
57,2020-08-15 09:30:00,-40.20308568237388,11.731896605074924
58,2020-08-15 09:40:00,-40.24525093765137,11.73410229649437
59,2020-08-15 09:50:00,-40.28741629152095,11.736306165404477
60,2020-08-15 10:00:00,-40.32958173049054,11.7385084612456
61,2020-08-15 10:10:00,-40.371747241068114,11.740709433458091
62,2020-08-15 10:20:00,-40.41391280976158,11.742909331482313
63,2020-08-15 10:30:00,-40.4560784230789,11.745108404758621
64,2020-08-15 10:40:00,-40.498244067527985,11.74730690272737
65,2020-08-15 10:50:00,-40.5404097296168,11.749505074828921
66,2020-08-15 11:00:00,-40.58257539585327,11.751703170503625
67,2020-08-15 11:10:00,-40.62474105274533,11.753901439191845
68,2020-08-15 11:20:00,-40.66690668680092,11.756100130333932
69,2020-08-15 11:30:00,-40.709072284527984,11.758299493370249
70,2020-08-15 11:40:00,-40.751237832434455,11.760499777741146
71,2020-08-15 11:50:00,-40.79340331702828,11.762701232886984
72,2020-08-15 12:00:00,-40.83556872481737,11.764904108248121
73,2020-08-15 12:10:00,-40.877734042309704,11.767108653264911
74,2020-08-15 12:20:00,-40.91989925601318,11.769315117377712
75,2020-08-15 12:30:00,-40.96206435243577,11.77152375002688
76,2020-08-15 12:40:00,-41.00422931808538,11.773734800652774
77,2020-08-15 12:50:00,-41.046394139469975,11.775948518695746
78,2020-08-15 13:00:00,-41.08855880309748,11.77816515359616
79,2020-08-15 13:10:00,-41.13072329547583,11.780384954794366
80,2020-08-15 13:20:00,-41.17288760311297,11.782608171730725
81,2020-08-15 13:30:00,-41.21505171251683,11.784835053845594
82,2020-08-15 13:40:00,-41.25721561019538,11.787065850579328
83,2020-08-15 13:50:00,-41.2993792826565,11.789300811372286
84,2020-08-15 14:00:00,-41.341542716408185,11.79154018566482
85,2020-08-15 14:10:00,-41.383705897958336,11.793784222897292
86,2020-08-15 14:20:00,-41.42586881381491,11.796033172510057
